date,home,away,home_score,away_score,odds_home,odds_draw,odds_away,bookmaker,source
2014-06-12,Brazil,Croatia,3,1,1.32,5.18,11.97,Average,mrthlinh/database_matches
2014-06-13,Chile,Australia,3,1,1.43,4.48,8.9,Average,mrthlinh/database_matches
2014-06-13,Mexico,Cameroon,1,0,2.18,3.17,3.8,Average,mrthlinh/database_matches
2014-06-13,Spain,Netherlands,1,5,1.84,3.39,5.15,Average,mrthlinh/database_matches
2014-06-14,Colombia,Greece,3,0,1.86,3.29,5.15,Average,mrthlinh/database_matches
2014-06-14,England,Italy,1,2,2.5,2.99,3.31,Average,mrthlinh/database_matches
2014-06-14,Uruguay,Costa Rica,1,3,1.44,4.29,9.0,Average,mrthlinh/database_matches
2014-06-15,Switzerland,Ecuador,2,1,2.43,3.24,3.15,Average,mrthlinh/database_matches
2014-06-15,France,Honduras,3,0,1.27,6.01,12.44,Average,mrthlinh/database_matches
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,1.3,5.61,10.9,Average,mrthlinh/database_matches
2014-06-16,Germany,Portugal,4,0,2.08,3.52,3.68,Average,mrthlinh/database_matches
2014-06-16,Ghana,United States,1,2,2.41,3.45,3.0,Average,mrthlinh/database_matches
2014-06-16,Iran,Nigeria,0,0,4.83,3.5,1.83,Average,mrthlinh/database_matches
2014-06-17,Belgium,Algeria,2,1,1.33,5.28,10.49,Average,mrthlinh/database_matches
2014-06-17,Brazil,Mexico,0,0,1.35,5.32,9.4,Average,mrthlinh/database_matches
2014-06-17,Russia,South Korea,1,1,1.82,3.63,4.7,Average,mrthlinh/database_matches
2014-06-18,Spain,Chile,0,2,1.57,4.48,5.61,Average,mrthlinh/database_matches
2014-06-18,Australia,Netherlands,2,3,13.23,6.6,1.24,Average,mrthlinh/database_matches
2014-06-18,Cameroon,Croatia,0,4,5.5,3.92,1.67,Average,mrthlinh/database_matches
2014-06-19,Colombia,Ivory Coast,2,1,2.02,3.56,3.79,Average,mrthlinh/database_matches
2014-06-19,Japan,Greece,0,0,2.4,3.4,3.04,Average,mrthlinh/database_matches
2014-06-19,Uruguay,England,2,1,3.82,3.84,1.94,Average,mrthlinh/database_matches
2014-06-20,Honduras,Ecuador,1,2,5.79,4.24,1.59,Average,mrthlinh/database_matches
2014-06-20,Italy,Costa Rica,0,1,1.57,4.05,6.59,Average,mrthlinh/database_matches
2014-06-20,Switzerland,France,2,5,4.61,3.54,1.86,Average,mrthlinh/database_matches
2014-06-21,Argentina,Iran,1,0,1.14,8.75,21.16,Average,mrthlinh/database_matches
2014-06-21,Germany,Ghana,2,2,1.33,5.62,9.31,Average,mrthlinh/database_matches
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,4.33,3.68,1.87,Average,mrthlinh/database_matches
2014-06-22,Belgium,Russia,1,0,2.23,3.38,3.42,Average,mrthlinh/database_matches
2014-06-22,South Korea,Algeria,2,4,2.5,3.29,2.97,Average,mrthlinh/database_matches
2014-06-22,United States,Portugal,2,2,4.55,4.13,1.74,Average,mrthlinh/database_matches
2014-06-23,Netherlands,Chile,2,0,2.68,3.54,2.62,Average,mrthlinh/database_matches
2014-06-23,Croatia,Mexico,1,3,2.7,3.5,2.64,Average,mrthlinh/database_matches
2014-06-23,Australia,Spain,0,3,7.94,5.36,1.38,Average,mrthlinh/database_matches
2014-06-23,Brazil,Cameroon,4,1,1.13,9.51,22.44,Average,mrthlinh/database_matches
2014-06-24,Costa Rica,England,0,0,4.45,4.01,1.77,Average,mrthlinh/database_matches
2014-06-24,Greece,Ivory Coast,2,1,4.04,3.62,1.95,Average,mrthlinh/database_matches
2014-06-24,Italy,Uruguay,0,1,2.54,3.52,2.77,Average,mrthlinh/database_matches
2014-06-24,Japan,Colombia,1,4,3.52,3.75,2.06,Average,mrthlinh/database_matches
2014-06-25,Bosnia and Herzegovina,Iran,3,1,2.21,3.58,3.27,Average,mrthlinh/database_matches
2014-06-25,Ecuador,France,0,0,5.54,4.17,1.62,Average,mrthlinh/database_matches
2014-06-25,Honduras,Switzerland,0,3,7.14,4.48,1.49,Average,mrthlinh/database_matches
2014-06-25,Nigeria,Argentina,2,3,9.39,4.25,1.44,Average,mrthlinh/database_matches
2014-06-26,Algeria,Russia,1,1,3.69,3.72,2.02,Average,mrthlinh/database_matches
2014-06-26,South Korea,Belgium,0,1,4.66,3.54,1.85,Average,mrthlinh/database_matches
2014-06-26,Portugal,Ghana,2,1,1.76,4.84,3.8,Average,mrthlinh/database_matches
2014-06-26,United States,Germany,0,1,8.32,3.13,1.68,Average,mrthlinh/database_matches
2014-06-28,Colombia,Uruguay,2,0,2.12,3.37,3.73,Average,mrthlinh/database_matches
2014-06-28,Brazil,Chile,1,1,1.53,4.51,6.31,Average,mrthlinh/database_matches
2014-06-29,Costa Rica,Greece,1,1,2.71,3.08,2.94,Average,mrthlinh/database_matches
2014-06-29,Netherlands,Mexico,2,1,2.12,3.38,3.74,Average,mrthlinh/database_matches
2014-06-30,France,Nigeria,2,0,1.41,4.66,8.81,Average,mrthlinh/database_matches
2014-06-30,Germany,Algeria,2,1,1.32,5.66,10.41,Average,mrthlinh/database_matches
2014-07-01,Argentina,Switzerland,1,0,1.57,4.16,6.46,Average,mrthlinh/database_matches
2014-07-01,Belgium,United States,2,1,2.02,3.41,4.08,Average,mrthlinh/database_matches
2014-07-04,Brazil,Colombia,2,1,1.77,3.8,4.91,Average,mrthlinh/database_matches
2014-07-04,France,Germany,0,1,2.84,3.15,2.77,Average,mrthlinh/database_matches
2014-07-05,Argentina,Belgium,1,0,1.99,3.4,4.24,Average,mrthlinh/database_matches
2014-07-05,Netherlands,Costa Rica,0,0,1.53,4.16,7.15,Average,mrthlinh/database_matches
2014-07-08,Brazil,Germany,1,7,2.65,3.21,2.93,Average,mrthlinh/database_matches
2014-07-09,Netherlands,Argentina,0,0,3.06,3.23,2.54,Average,mrthlinh/database_matches
2014-07-12,Brazil,Netherlands,0,3,2.16,3.71,3.35,Average,mrthlinh/database_matches
2014-07-13,Germany,Argentina,1,0,2.36,3.29,3.35,Average,mrthlinh/database_matches
