date,home,away,home_score,away_score,odds_home,odds_draw,odds_away,bookmaker,source
2022-11-20,Qatar,Ecuador,0,2,3.73,3.14,2.29,Pinnacle,API-Football-closing
2022-11-21,Senegal,Netherlands,0,2,6.04,3.66,1.71,Pinnacle,API-Football-closing
2022-11-21,England,Iran,6,2,1.38,4.75,11.25,Pinnacle,API-Football-closing
2022-11-21,United States,Wales,1,1,2.66,3.1,3.09,Pinnacle,API-Football-closing
2022-11-22,Argentina,Saudi Arabia,1,2,1.19,7.43,20.44,Pinnacle,API-Football-closing
2022-11-22,Mexico,Poland,0,0,2.75,3.1,2.98,Pinnacle,API-Football-closing
2022-11-22,Denmark,Tunisia,0,0,1.52,4.09,8.1,Pinnacle,API-Football-closing
2022-11-22,France,Australia,4,1,1.31,5.92,11.0,Pinnacle,API-Football-closing
2022-11-23,Germany,Japan,1,2,1.48,4.74,6.9,Pinnacle,API-Football-closing
2022-11-23,Spain,Costa Rica,7,0,1.18,7.73,20.43,Pinnacle,API-Football-closing
2022-11-23,Morocco,Croatia,0,0,4.09,3.23,2.11,Pinnacle,API-Football-closing
2022-11-23,Belgium,Canada,1,0,1.51,4.55,6.64,Pinnacle,API-Football-closing
2022-11-24,Portugal,Ghana,3,2,1.38,4.78,10.22,Pinnacle,API-Football-closing
2022-11-24,Uruguay,South Korea,0,0,1.76,3.56,5.56,Pinnacle,API-Football-closing
2022-11-24,Switzerland,Cameroon,1,0,1.77,3.57,5.42,Pinnacle,API-Football-closing
2022-11-24,Brazil,Serbia,2,0,1.48,4.62,7.09,Pinnacle,API-Football-closing
2022-11-25,Qatar,Senegal,1,3,5.22,3.57,1.75,Pinnacle,API-Football-closing
2022-11-25,Netherlands,Ecuador,1,1,1.66,3.82,5.56,Pinnacle,API-Football-closing
2022-11-25,Wales,Iran,0,2,2.37,3.11,3.38,Pinnacle,API-Football-closing
2022-11-25,England,United States,0,0,1.59,3.99,6.07,Pinnacle,API-Football-closing
2022-11-26,Poland,Saudi Arabia,2,0,1.62,3.83,6.11,Pinnacle,API-Football-closing
2022-11-26,Argentina,Mexico,2,0,1.51,4.13,7.24,Pinnacle,API-Football-closing
2022-11-26,Tunisia,Australia,0,1,2.58,3.08,3.07,Pinnacle,API-Football-closing
2022-11-26,France,Denmark,2,1,2.12,3.21,3.9,Pinnacle,API-Football-closing
2022-11-27,Croatia,Canada,4,1,1.74,3.73,5.04,Pinnacle,API-Football-closing
2022-11-27,Japan,Costa Rica,0,1,1.6,3.86,6.26,Pinnacle,API-Football-closing
2022-11-27,Spain,Germany,1,1,2.51,3.5,2.82,Pinnacle,API-Football-closing
2022-11-27,Belgium,Morocco,0,2,1.61,4.07,5.72,Pinnacle,API-Football-closing
2022-11-28,South Korea,Ghana,2,3,2.65,3.14,3.06,Pinnacle,API-Football-closing
2022-11-28,Portugal,Uruguay,2,0,2.01,3.35,4.42,Pinnacle,API-Football-closing
2022-11-28,Cameroon,Serbia,3,3,5.06,3.58,1.83,Pinnacle,API-Football-closing
2022-11-28,Brazil,Switzerland,1,0,1.5,4.47,7.47,Pinnacle,API-Football-closing
2022-11-29,Ecuador,Senegal,1,2,2.5,3.2,3.18,Pinnacle,API-Football-closing
2022-11-29,Qatar,Netherlands,0,2,19.41,6.66,1.21,Pinnacle,API-Football-closing
2022-11-29,Wales,England,0,3,8.6,4.8,1.41,Pinnacle,API-Football-closing
2022-11-29,Iran,United States,0,1,4.14,3.43,2.02,Pinnacle,API-Football-closing
2022-11-30,Poland,Argentina,0,2,8.11,4.3,1.48,Pinnacle,API-Football-closing
2022-11-30,Saudi Arabia,Mexico,1,2,4.86,4.3,1.69,Pinnacle,API-Football-closing
2022-11-30,Australia,Denmark,1,0,7.08,4.3,1.52,Pinnacle,API-Football-closing
2022-11-30,Tunisia,France,1,0,7.26,3.96,1.56,Pinnacle,API-Football-closing
2022-12-01,Japan,Spain,2,1,8.32,4.62,1.44,Pinnacle,API-Football-closing
2022-12-01,Costa Rica,Germany,2,4,27.33,11.39,1.11,Pinnacle,API-Football-closing
2022-12-01,Croatia,Belgium,0,0,2.83,3.4,2.63,Pinnacle,API-Football-closing
2022-12-01,Canada,Morocco,1,2,3.79,3.51,2.09,Pinnacle,API-Football-closing
2022-12-02,South Korea,Portugal,2,1,5.59,4.19,1.55,Pinnacle,API-Football-closing
2022-12-02,Ghana,Uruguay,0,2,5.15,3.6,1.7,Pinnacle,API-Football-closing
2022-12-02,Serbia,Switzerland,2,3,2.54,3.27,2.81,Pinnacle,API-Football-closing
2022-12-02,Cameroon,Brazil,1,0,14.92,6.47,1.19,Pinnacle,API-Football-closing
2022-12-03,Netherlands,United States,3,1,2.06,3.34,4.21,Pinnacle,API-Football-closing
2022-12-03,Argentina,Australia,2,1,1.27,6.3,13.5,Pinnacle,API-Football-closing
2022-12-04,France,Poland,3,1,1.33,5.32,11.66,Pinnacle,API-Football-closing
2022-12-04,England,Senegal,3,0,1.54,3.96,8.13,Pinnacle,API-Football-closing
2022-12-05,Japan,Croatia,1,1,4.03,3.34,2.1,Pinnacle,API-Football-closing
2022-12-05,Brazil,South Korea,4,1,1.29,6.1,12.0,Pinnacle,API-Football-closing
2022-12-06,Portugal,Switzerland,6,1,1.93,3.47,4.63,Pinnacle,API-Football-closing
2022-12-06,Morocco,Spain,0,0,7.18,3.94,1.58,Pinnacle,API-Football-closing
